name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Tom Brady,NE,5,362,492,324,3900,36,4,0,31,30,1,0,0,0,0,0,1,0
Aaron Rodgers,GB,10,349,475,312,3922,28,11,0,64,356,4,0,0,0,0,0,1,0
Peyton Manning,Ind,7,346,679,450,4700,33,17,0,18,18,0,0,0,0,0,0,1,0
Michael Vick,Phi,8,345,372,233,3018,21,6,1,100,676,9,0,0,0,0,0,3,0
Philip Rivers,SD,10,334,541,357,4710,30,13,1,29,52,0,0,0,0,0,0,4,0
Drew Brees,NO,10,331,658,448,4620,33,22,0,18,-3,0,0,1,7,0,0,2,0
Josh Freeman,TB,4,299,474,291,3451,25,6,0,68,364,0,1,0,0,0,0,3,0
Matt Ryan,Atl,8,297,571,357,3705,28,9,2,46,122,0,0,0,0,0,0,3,0
Matt Schaub,Hou,7,288,574,365,4370,24,12,1,22,28,0,0,0,0,0,0,3,0
Eli Manning,NYG,8,288,539,339,4002,31,25,0,32,70,0,0,0,0,0,0,5,0
Joe Flacco,Bal,8,275,489,306,3622,25,10,0,43,84,1,0,0,0,0,0,4,0
Matt Cassel,KC,4,272,450,262,3116,27,7,0,33,125,0,0,0,0,0,0,1,0
Carson Palmer,Cin,6,267,586,362,3970,26,20,1,32,50,0,0,0,0,0,0,3,0
David Garrard,Jax,9,258,366,236,2734,23,15,0,66,279,5,0,0,0,0,0,4,0
Jay Cutler,Chi,8,248,432,261,3274,23,16,1,50,232,1,0,0,0,0,0,6,0
Kyle Orton,Den,9,244,498,293,3653,20,9,0,22,98,0,0,0,0,0,0,4,0
Ben Roethlisberger,Pit,5,238,389,240,3200,17,5,0,34,176,2,0,0,0,0,0,3,0
Ryan Fitzpatrick,Buf,6,236,441,255,3000,23,15,0,40,269,0,0,0,0,0,0,5,0
Mark Sanchez,NYJ,7,226,507,278,3291,17,13,1,30,105,3,0,0,0,0,0,1,0
Sam Bradford,Stl,9,218,590,354,3512,18,15,0,27,63,1,0,0,0,0,0,2,0
Donovan McNabb,Was,9,194,472,275,3377,14,15,0,29,151,0,0,0,0,0,0,1,0
Shaun Hill,Det,7,185,416,257,2686,16,12,1,22,123,0,0,0,0,0,0,1,0
Jon Kitna,Dal,4,183,318,209,2365,16,12,2,31,147,1,0,0,0,0,0,1,0
Chad Henne,Mia,5,179,490,301,3301,15,19,0,35,52,0,0,0,0,0,0,2,0
Jason Campbell,Oak,10,175,329,194,2387,13,8,0,47,222,1,0,0,0,0,0,1,0
Matt Hasselbeck,Sea,5,167,444,266,3001,12,17,0,23,60,3,0,0,0,0,0,5,0
Alex Smith,SF,9,159,342,204,2370,14,10,1,18,60,0,0,0,0,0,0,2,0
Kerry Collins,Ten,9,136,278,160,1823,14,8,1,10,1,0,0,0,0,0,0,3,0
Tony Romo,Dal,4,117,213,148,1605,11,7,0,6,38,0,0,0,11,0,0,0,0
Brett Favre,Min,4,117,358,217,2509,11,19,0,17,8,0,0,0,0,0,0,5,0
Vince Young,Ten,9,105,156,93,1255,10,3,0,25,125,0,0,0,0,0,0,4,0
Tim Tebow,Den,9,105,82,41,654,5,3,0,43,227,6,0,0,0,0,0,0,0
Derek Anderson,Ari,6,97,327,169,2065,7,10,1,5,25,0,0,0,0,0,0,3,0
Colt McCoy,Cle,8,95,222,135,1576,6,9,0,28,136,1,0,1,13,0,0,0,0
Troy Smith,SF,9,81,145,73,1176,5,4,0,23,121,1,0,0,0,0,0,0,0
Kevin Kolb,Phi,8,75,189,115,1197,7,7,0,15,65,0,0,0,0,0,0,3,0
Rex Grossman,Was,9,67,133,74,884,7,4,2,3,6,0,0,0,0,0,0,4,0
Drew Stanton,Det,7,62,119,69,780,4,3,0,18,113,1,0,0,0,0,0,1,0
Matthew Stafford,Det,7,62,96,57,535,6,1,1,4,11,1,0,0,0,0,0,1,0
Bruce Gradkowski,Oak,10,58,157,83,1059,5,7,0,12,41,0,0,0,0,0,0,1,0
Jimmy Clausen,Car,6,58,299,157,1558,3,9,0,23,57,0,0,0,0,0,0,2,0
Seneca Wallace,Cle,8,46,101,64,694,4,2,0,7,9,0,0,1,9,0,0,0,0
Matt Moore,Car,6,41,143,79,857,5,10,0,5,25,0,0,0,0,0,0,2,0
Charlie Whitehurst,Sea,5,38,99,57,507,2,3,2,20,43,1,0,0,0,0,0,0,0
Joe Webb,Min,4,33,89,54,477,0,3,0,18,120,2,0,0,0,0,0,0,0
John Skelton,Ari,6,33,126,60,662,2,2,0,10,49,0,0,0,0,0,0,1,0
Matt Flynn,GB,10,32,66,40,433,3,2,0,9,26,0,0,0,0,0,0,1,0
Tarvaris Jackson,Min,4,29,58,34,341,3,4,1,7,63,0,0,0,0,0,0,0,0
Jake Delhomme,Cle,8,29,149,93,872,2,7,0,8,-2,0,0,0,0,0,0,1,0
Tyler Thigpen,Mia,5,28,62,33,435,2,2,0,13,73,0,0,0,0,0,0,0,0
Stephen McGee,Dal,4,27,44,22,238,2,0,0,13,74,0,0,0,0,0,0,0,0
Charlie Batch,Pit,5,27,49,29,352,3,3,0,7,30,0,0,0,0,0,0,0,0
Trent Edwards,Jax,9,25,101,55,521,2,5,0,14,58,0,0,0,0,0,0,0,0
Todd Bouman,Jax,9,16,34,18,222,2,2,0,2,8,0,0,0,0,0,0,0,0
Mark Brunell,NYJ,7,14,13,7,117,2,1,0,0,0,0,0,0,0,0,0,0,0
Brian St. Pierre,Car,6,8,28,13,173,1,2,0,0,0,0,0,0,0,0,0,0,0
Brian Hoyer,NE,5,8,15,7,122,1,1,0,10,-8,0,0,0,0,0,0,0,0
Dennis Dixon,Pit,5,8,32,22,254,0,1,0,5,32,0,0,0,0,0,0,1,0
Kellen Clemens,NYJ,7,6,2,1,6,0,0,0,2,9,1,0,0,0,0,0,0,0
Luke McCown,Jax,9,4,19,11,120,0,0,0,1,4,0,0,0,0,0,0,0,0
