name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jason Witten,Dal,4,147,0,0,0,0,0,0,0,0,0,0,94,1002,9,1,1,0
Antonio Gates,SD,10,134,0,0,0,0,0,0,0,0,0,0,50,782,10,0,0,0
Vernon Davis,SF,9,129,0,0,0,0,0,0,0,0,0,0,56,914,7,1,0,0
Marcedes Lewis,Jax,9,121,0,0,0,0,0,0,0,0,0,0,58,700,10,0,2,0
Rob Gronkowski,NE,5,108,0,0,0,0,0,0,0,0,0,0,42,546,10,0,1,0
Chris Cooley,Was,9,97,0,0,0,0,0,0,0,0,0,0,77,849,3,1,1,0
Kellen Winslow,TB,4,96,0,0,0,0,0,0,0,0,0,0,66,730,5,0,0,0
Tony Gonzalez,Atl,8,94,0,0,0,0,0,0,0,0,0,0,70,656,6,0,0,0
Zach Miller,Oak,10,90,0,0,0,0,0,0,0,0,0,0,60,685,5,0,0,0
Dustin Keller,NYJ,7,89,0,0,0,0,0,0,0,0,0,0,55,687,5,0,0,0
Aaron Hernandez,NE,5,89,0,0,0,0,0,0,3,47,0,0,45,563,6,0,0,0
Benjamin Watson,Cle,8,88,0,0,0,0,0,0,1,-1,0,0,68,763,3,0,0,0
Brandon Pettigrew,Det,7,88,0,0,0,0,0,0,0,0,0,0,71,722,4,0,0,0
Todd Heap,Bal,8,83,0,0,0,0,0,0,0,0,0,0,40,599,5,0,0,0
Jacob Tamme,Ind,7,82,0,0,0,0,0,0,0,0,0,0,67,631,4,0,0,0
Kevin Boss,NYG,8,76,0,0,0,0,0,0,0,0,0,0,35,531,5,0,1,0
Anthony Fasano,Mia,5,71,0,0,0,0,0,0,0,0,0,0,39,528,4,0,0,0
Joel Dreessen,Hou,7,69,0,0,0,0,0,0,0,0,0,0,36,518,4,0,1,0
Brent Celek,Phi,8,69,0,0,0,0,0,0,0,0,0,0,42,511,4,0,0,0
Tony Moeaki,KC,4,68,0,0,0,0,0,0,0,0,0,0,47,556,3,0,0,0
Jermaine Gresham,Cin,6,65,0,0,0,0,0,0,0,0,0,0,52,471,4,1,1,0
Greg Olsen,Chi,8,61,0,0,0,0,0,0,0,0,0,0,41,404,5,0,1,0
Jimmy Graham,NO,10,61,0,0,0,0,0,0,1,3,0,0,31,356,5,0,0,0
Visanthe Shiancoe,Min,4,57,0,0,0,0,0,0,0,0,0,0,47,530,2,0,0,0
Heath Miller,Pit,5,57,0,0,0,0,0,0,0,0,0,0,42,512,2,0,1,0
Jeremy Shockey,NO,10,53,0,0,0,0,0,0,0,0,0,0,41,408,3,0,0,0
Owen Daniels,Hou,7,53,0,0,0,0,0,0,0,0,0,0,38,471,2,0,0,0
Bo Scaife,Ten,9,51,0,0,0,0,0,0,0,0,0,0,36,318,4,0,1,0
Dallas Clark,Ind,7,51,0,0,0,0,0,0,0,0,0,0,37,347,3,0,0,0
Fred Davis,Was,9,46,0,0,0,0,0,0,0,0,0,0,21,316,3,0,0,0
Daniel Fells,Stl,9,43,0,0,0,0,0,0,0,0,0,0,41,391,2,0,0,0
Tony Scheffler,Det,7,38,0,0,0,0,0,0,0,0,0,0,45,378,1,0,1,0
Jared Cook,Ten,9,37,0,0,0,0,0,0,0,0,0,0,29,361,1,0,0,0
Jermichael Finley,GB,10,34,0,0,0,0,0,0,0,0,0,0,21,301,1,0,0,0
Evan Moore,Cle,8,32,0,0,0,0,0,0,0,0,0,0,16,322,1,0,1,0
John Carlson,Sea,5,32,0,0,0,0,0,0,0,0,0,0,31,318,1,0,0,0
David Thomas,NO,10,30,0,0,0,0,0,0,0,0,0,0,30,219,2,0,0,0
Randy McMichael,SD,10,29,0,0,0,0,0,0,0,0,0,0,20,221,2,0,0,0
Michael Hoomanawanui,Stl,9,29,0,0,0,0,0,0,0,0,0,0,13,146,3,0,0,0
Delanie Walker,SF,9,26,0,0,0,0,0,0,3,18,0,0,29,331,0,0,1,0
Andrew Quarless,GB,10,25,0,0,0,0,0,0,0,0,0,0,21,238,1,0,1,0
Billy Bajema,Stl,9,23,0,0,0,0,0,0,0,0,0,0,14,145,2,0,0,0
Zach Miller,Jax,9,22,0,0,0,0,0,0,2,9,0,0,20,216,1,0,0,0
Donald Lee,GB,10,22,0,0,0,0,0,0,0,0,0,0,11,73,3,0,1,0
Martellus Bennett,Dal,4,21,0,0,0,0,0,0,0,0,0,0,33,260,0,0,0,0
Craig Stevens,Ten,9,20,0,0,0,0,0,0,0,0,0,0,11,122,2,0,0,0
Jeff King,Car,6,20,0,0,0,0,0,0,0,0,0,0,19,121,2,0,0,0
Travis Beckum,NYG,8,20,0,0,0,0,0,0,0,0,0,0,13,116,2,0,0,0
Dante Rosario,Car,6,19,0,0,0,0,0,0,1,-2,0,0,32,264,0,0,0,0
Leonard Pope,KC,4,19,0,0,0,0,0,0,0,0,0,0,10,76,2,0,0,0
John Gilmore,TB,4,18,0,0,0,0,0,0,0,0,0,0,13,160,1,0,0,0
Ed Dickson,Bal,8,17,0,0,0,0,0,0,0,0,0,0,11,152,1,0,0,0
Alge Crumpler,NE,5,15,0,0,0,0,0,0,0,0,0,0,6,52,2,0,0,0
Justin Peelle,Atl,8,14,0,0,0,0,0,0,0,0,0,0,10,96,1,0,0,0
Chris Baker,Sea,5,14,0,0,0,0,0,0,0,0,0,0,9,116,1,0,0,0
Matt Spaeth,Pit,5,12,0,0,0,0,0,0,0,0,0,0,9,80,1,0,0,0
Clay Harbor,Phi,8,11,0,0,0,0,0,0,0,0,0,0,9,72,1,0,0,0
Robert Royal,Cle,8,10,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0
Ben Patrick,Ari,6,10,0,0,0,0,0,0,0,0,0,0,15,123,0,0,0,0
Jim Kleinsasser,Min,4,10,0,0,0,0,0,0,0,0,0,0,17,148,0,0,0,0
