name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Devonta Freeman,Atl,10,232,0,0,0,0,0,0,265,1056,11,0,73,578,3,0,2,0
Adrian Peterson,Min,5,220,0,0,0,0,0,0,327,1485,11,0,30,222,0,0,3,0
Doug Martin,TB,6,192,0,0,0,0,0,0,288,1402,6,0,33,271,1,0,5,0
DeAngelo Williams,Pit,11,181,0,0,0,0,0,0,200,907,11,0,40,367,0,1,2,0
Todd Gurley,Stl,6,177,0,0,0,0,0,0,229,1106,10,0,21,188,0,0,1,0
Lamar Miller,Mia,5,174,0,0,0,0,0,0,194,872,8,0,47,397,2,0,1,0
Chris Ivory,NYJ,5,161,0,0,0,0,0,0,247,1070,7,0,30,217,1,0,2,0
Matt Forte,Chi,7,160,0,0,0,0,0,0,218,898,4,0,44,389,3,1,1,0
David Johnson,Ari,9,159,0,0,0,0,0,0,125,581,8,0,36,457,4,0,1,0
Frank Gore,Ind,10,150,0,0,0,0,0,0,260,967,6,0,34,267,1,0,3,0
Latavius Murray,Oak,6,149,0,0,0,0,0,0,266,1066,6,0,41,232,0,0,1,0
Danny Woodhead,SD,10,148,0,0,0,0,0,0,98,336,3,0,80,755,6,0,0,0
Darren McFadden,Dal,6,148,1,0,0,0,0,0,239,1089,3,0,40,328,0,1,3,0
Jeremy Hill,Cin,7,148,0,0,0,0,0,0,223,794,11,1,15,79,1,0,3,0
Mark Ingram,NO,11,144,0,0,0,0,0,0,166,769,6,1,50,405,0,0,1,0
Jonathan Stewart,Car,5,141,0,0,0,0,0,0,242,989,6,0,16,99,1,0,2,0
LeSean McCoy,Buf,8,139,0,0,0,0,0,0,203,895,3,1,32,292,2,0,2,0
DeMarco Murray,Phi,8,131,0,0,0,0,0,0,193,702,6,0,44,322,1,0,2,0
Ronnie Hillman,Den,7,130,0,0,0,0,0,0,207,863,7,0,24,111,0,0,1,0
Rashad Jennings,NYG,11,127,0,0,0,0,0,0,195,863,3,0,29,296,1,0,2,0
Charles Sims,TB,6,119,0,0,0,0,0,0,107,529,0,0,51,561,4,0,2,0
Giovani Bernard,Cin,7,119,0,0,0,0,0,0,154,730,2,0,49,472,0,0,0,0
Jeremy Langford,Chi,7,115,0,0,0,0,0,0,148,537,6,1,22,279,1,0,0,0
James Starks,GB,7,113,0,0,0,0,0,0,148,601,2,0,43,392,3,0,3,0
Thomas Rawls,Sea,9,112,0,0,0,0,0,0,147,830,4,0,9,76,1,0,1,0
Eddie Lacy,GB,7,111,0,0,0,0,0,0,187,758,3,0,20,188,2,0,2,0
Karlos Williams,Buf,8,110,0,0,0,0,0,0,93,517,7,0,11,96,2,0,1,0
LeGarrette Blount,NE,4,110,0,0,0,0,0,0,165,703,6,0,6,43,1,0,0,0
T.J. Yeldon,Jax,8,109,0,0,0,0,0,0,182,740,2,0,36,279,1,0,0,0
Isaiah Crowell,Cle,11,107,0,0,0,0,0,0,185,706,4,0,19,182,1,0,0,0
C.J. Anderson,Den,7,105,0,0,0,0,0,0,152,720,5,0,25,183,0,0,2,0
Charcandrick West,KC,9,103,0,0,0,0,0,0,160,634,4,0,20,214,1,0,1,0
Ryan Mathews,Phi,8,98,0,0,0,0,0,0,106,539,6,0,20,146,1,0,3,0
