name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Brandon Lloyd,Den,9,203,0,0,0,0,0,0,1,-18,0,0,77,1448,11,0,0,0
Dwayne Bowe,KC,4,200,0,0,0,0,0,0,1,4,0,0,72,1162,15,0,0,0
Roddy White,Atl,8,194,0,0,0,0,0,0,1,3,0,0,115,1389,10,2,1,0
Greg Jennings,GB,10,193,0,0,0,0,0,0,1,-1,0,0,76,1265,12,0,0,0
Mike Wallace,Pit,5,182,0,0,0,0,0,0,5,39,0,0,60,1257,10,0,0,0
Calvin Johnson,Det,7,182,0,0,0,0,0,0,4,32,0,0,77,1120,12,1,0,0
Hakeem Nicks,NYG,8,165,0,0,0,0,0,0,0,0,0,0,79,1052,11,0,0,0
Andre Johnson,Hou,7,164,0,0,0,0,0,0,2,10,0,0,86,1216,8,0,0,0
Reggie Wayne,Ind,7,163,0,0,0,0,0,0,0,0,0,0,111,1355,6,0,1,0
Stevie Johnson,Buf,6,158,0,0,0,0,0,0,0,0,0,0,82,1073,10,0,1,0
Mike Williams,TB,4,153,0,0,0,0,0,0,0,0,0,0,65,964,11,0,2,0
Miles Austin,Dal,4,151,0,0,0,0,0,0,7,93,1,0,69,1041,7,0,1,0
Jeremy Maclin,Phi,8,150,0,0,0,0,0,0,3,36,0,0,70,964,10,0,1,0
Terrell Owens,Cin,6,147,0,0,0,0,0,0,0,0,0,0,72,983,9,0,0,0
DeSean Jackson,Phi,8,147,0,0,0,0,0,0,16,104,1,0,47,1056,6,0,1,0
Larry Fitzgerald,Ari,6,146,0,0,0,0,0,0,0,0,0,0,90,1137,6,1,0,0
Mario Manningham,NYG,8,143,0,0,0,0,0,0,1,2,0,0,60,944,9,0,1,0
Santana Moss,Was,9,138,0,0,0,0,0,0,5,-6,0,0,93,1115,6,0,2,0
Marques Colston,NO,10,138,0,0,0,0,0,0,1,1,0,0,84,1023,7,0,0,0
Percy Harvin,Min,4,127,0,0,0,0,0,0,18,107,1,0,71,868,5,1,1,0
Kenny Britt,Ten,9,127,0,0,0,0,0,0,0,0,0,0,42,775,9,1,1,0
Braylon Edwards,NYJ,7,125,0,0,0,0,0,0,1,4,0,0,53,904,7,1,1,0
Wes Welker,NE,5,121,0,0,0,0,0,0,0,0,0,0,86,848,7,0,0,0
Johnny Knox,Chi,8,118,0,0,0,0,0,0,1,2,0,0,51,960,5,0,1,0
Derrick Mason,Bal,8,117,0,0,0,0,0,0,0,0,0,0,61,802,7,0,0,0
Anquan Boldin,Bal,8,117,1,1,-6,0,0,0,2,2,0,0,64,837,7,0,1,0
Lance Moore,NO,10,115,0,0,0,0,0,0,0,0,0,0,66,763,8,0,1,0
Brandon Marshall,Mia,5,113,1,0,0,0,0,0,2,3,0,0,86,1014,3,0,1,0
Deion Branch,NE,5,113,0,0,0,0,0,0,0,0,0,0,61,818,6,0,1,0
Pierre Garcon,Ind,7,109,0,0,0,0,0,0,2,6,0,0,67,784,6,0,0,0
Austin Collie,Ind,7,108,0,0,0,0,0,0,0,0,0,0,58,649,8,0,1,0
Mike Thomas,Jax,9,105,0,0,0,0,0,0,12,114,0,0,66,820,4,0,3,0
Santonio Holmes,NYJ,7,104,0,0,0,0,0,0,2,17,0,0,52,746,6,0,2,0
