name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jordy Nelson,GB,4,201,0,0,0,0,0,0,0,0,0,0,97,1257,14,0,1,0
Mike Evans,TB,6,200,0,0,0,0,0,0,0,0,0,0,96,1321,12,2,0,0
Antonio Brown,Pit,8,193,0,0,0,0,0,0,3,9,0,0,106,1284,12,0,0,0
Odell Beckham Jr.,NYG,8,189,0,0,0,0,0,0,1,9,0,0,101,1367,10,0,1,0
T.Y. Hilton,Ind,10,176,0,0,0,0,0,0,0,0,0,0,91,1448,6,1,0,0
Julio Jones,Atl,11,170,0,0,0,0,0,0,0,0,0,0,83,1409,6,0,0,0
Davante Adams,GB,4,167,0,0,0,0,0,0,0,0,0,0,75,997,12,1,1,0
Michael Thomas,NO,5,159,0,0,0,0,0,0,0,0,0,0,92,1137,9,0,2,0
Brandin Cooks,NO,5,159,0,0,0,0,0,0,6,30,0,0,78,1173,8,0,0,0
Doug Baldwin,Sea,5,154,1,1,15,1,0,0,3,2,0,0,94,1128,7,0,0,0
Michael Crabtree,Oak,10,144,0,0,0,0,0,0,0,0,0,0,89,1003,8,1,0,0
Tyrell Williams,SD,11,142,0,0,0,0,0,0,0,0,0,0,69,1059,7,0,0,0
Rishard Matthews,Ten,13,142,0,0,0,0,0,0,0,0,0,0,65,945,9,0,1,0
Amari Cooper,Oak,10,139,0,0,0,0,0,0,1,0,0,0,83,1153,5,2,0,0
Demaryius Thomas,Den,11,132,0,0,0,0,0,0,0,0,0,0,90,1083,5,1,2,0
Larry Fitzgerald,Ari,9,132,1,0,0,0,0,0,2,5,0,0,107,1023,6,0,1,0
Jarvis Landry,Mia,8,130,1,0,0,0,0,0,5,17,0,0,94,1136,4,1,2,0
Dez Bryant,Dal,7,129,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0
Kelvin Benjamin,Car,7,129,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0
Terrelle Pryor,Cle,13,127,9,5,41,0,0,0,8,21,1,0,77,1007,4,1,0,0
Tyreek Hill,KC,5,127,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0
Golden Tate,Det,10,125,0,0,0,0,0,0,10,4,0,0,91,1077,4,1,1,0
Emmanuel Sanders,Den,11,125,0,0,0,0,0,0,1,4,0,0,79,1032,5,0,0,0
Mike Wallace,Bal,8,124,0,0,0,0,0,0,5,31,0,0,72,1017,4,1,0,0
Julian Edelman,NE,9,124,0,0,0,0,0,0,12,57,0,0,98,1106,3,1,2,0
Kenny Britt,LA,8,122,0,0,0,0,0,0,0,0,0,0,68,1002,5,0,1,0
Adam Thielen,Min,6,121,0,0,0,0,0,0,2,15,0,0,69,967,5,0,1,0
Kenny Stills,Mia,8,121,0,0,0,0,0,0,0,0,0,0,42,726,9,0,0,0
Allen Robinson,Jax,5,118,0,0,0,0,0,0,0,0,0,0,73,883,6,1,0,0
DeSean Jackson,Was,9,118,0,0,0,0,0,0,0,0,0,0,56,1005,4,0,0,0
Jamison Crowder,Was,9,117,0,0,0,0,0,0,2,-2,0,0,67,847,7,0,1,0
A.J. Green,Cin,9,116,0,0,0,0,0,0,0,0,0,0,66,964,4,0,0,0
Brandon LaFell,Cin,9,115,0,0,0,0,0,0,1,-2,0,0,64,862,6,0,0,0
Willie Snead,NO,5,114,1,1,50,1,0,0,0,0,0,0,72,895,4,0,0,0
Sterling Shepard,NYG,8,114,0,0,0,0,0,0,3,31,0,0,65,683,8,0,0,0
Pierre Garcon,Was,9,113,0,0,0,0,0,0,0,0,0,0,79,1041,3,0,0,0
DeAndre Hopkins,Hou,9,112,0,0,0,0,0,0,0,0,0,0,78,954,4,0,0,0
Cameron Meredith,Chi,9,111,1,1,2,1,0,0,1,6,0,0,66,888,4,0,2,0
Marvin Jones,Det,10,110,0,0,0,0,0,0,1,3,0,0,55,930,4,0,0,0
Steve Smith,Bal,8,107,0,0,0,0,0,0,0,0,0,0,70,799,5,2,0,0
Quincy Enunwa,NYJ,11,105,0,0,0,0,0,0,1,12,0,0,58,857,4,0,0,0
Cole Beasley,Dal,7,105,1,0,0,0,0,0,1,7,0,0,75,833,5,0,0,0
Marqise Lee,Jax,5,104,1,1,20,1,0,0,6,35,0,0,63,851,3,0,1,0
Stefon Diggs,Min,6,103,0,0,0,0,0,0,3,10,0,0,84,903,3,0,0,0
J.J. Nelson,Ari,9,99,0,0,0,0,0,0,4,83,1,0,34,568,6,0,1,0
Anquan Boldin,Det,10,99,0,0,0,0,0,0,0,0,0,0,67,584,8,0,0,0
Dontrelle Inman,SD,11,98,0,0,0,0,0,0,0,0,0,0,58,810,4,0,0,0
Taylor Gabriel,Atl,11,98,0,0,0,0,0,0,4,51,1,0,35,579,6,0,0,0
Ted Ginn Jr.,Car,7,97,0,0,0,0,0,0,14,98,0,0,54,752,4,0,2,0
DeVante Parker,Mia,8,92,0,0,0,0,0,0,0,0,0,0,56,744,4,0,0,0
Jordan Matthews,Phi,4,91,0,0,0,0,0,0,0,0,0,0,73,804,3,0,0,0
Brandon Marshall,NYJ,11,89,0,0,0,0,0,0,0,0,0,0,59,788,3,0,0,0
Alshon Jeffery,Chi,9,89,0,0,0,0,0,0,0,0,0,0,52,821,2,0,0,0
Ty Montgomery,GB,4,88,0,0,0,0,0,0,77,457,3,0,44,348,0,0,1,0
Chris Hogan,NE,9,85,0,0,0,0,0,0,3,9,0,0,38,680,4,0,1,0
Mohamed Sanu,Atl,11,84,0,0,0,0,0,0,1,5,0,0,59,653,4,1,1,0
Randall Cobb,GB,4,83,0,0,0,0,0,0,10,33,0,0,60,610,4,0,0,0
Travis Benjamin,SD,11,82,1,0,0,0,0,0,2,-3,0,0,47,677,4,0,3,0
Tavon Austin,LA,8,79,0,0,0,0,0,0,28,159,1,0,58,509,3,0,1,0
Jeremy Kerley,SF,8,78,0,0,0,0,0,0,0,0,0,0,64,667,3,0,1,0
Terrance Williams,Dal,7,77,0,0,0,0,0,0,0,0,0,0,44,594,4,0,1,0
Tyler Lockett,Sea,5,75,0,0,0,0,0,0,6,114,1,0,41,597,1,0,0,0
Michael Floyd,Ari,9,73,0,0,0,0,0,0,0,0,0,0,37,488,5,0,0,0
Eli Rogers,Pit,8,72,0,0,0,0,0,0,1,6,0,0,48,594,3,0,0,0
Will Fuller,Hou,9,70,0,0,0,0,0,0,1,-3,0,0,47,635,2,0,0,0
Donte Moncrief,Ind,10,69,0,0,0,0,0,0,1,-1,0,0,30,307,7,0,0,0
Robby Anderson,NYJ,11,69,0,0,0,0,0,0,3,42,0,0,42,587,2,0,1,0
Brian Quick,LA,8,68,0,0,0,0,0,0,0,0,0,0,41,564,3,0,0,0
Adam Humphries,TB,6,68,0,0,0,0,0,0,5,18,0,0,55,622,2,1,0,0
Seth Roberts,Oak,10,66,0,0,0,0,0,0,0,0,0,0,38,397,5,2,0,0
Robert Woods,Buf,10,63,0,0,0,0,0,0,1,6,0,0,51,613,1,0,0,0
Breshad Perriman,Bal,8,63,0,0,0,0,0,0,1,2,0,0,33,499,3,0,0,0
Tyler Boyd,Cin,9,62,0,0,0,0,0,0,4,58,0,0,54,603,1,0,1,0
Allen Hurns,Jax,5,61,0,0,0,0,0,0,0,0,0,0,35,477,3,0,0,0
Jeremy Maclin,KC,5,60,1,0,0,0,0,0,1,-1,0,0,44,536,2,0,0,0
John Brown,Ari,9,60,0,0,0,0,0,0,1,10,0,0,39,517,2,0,0,0
Malcolm Mitchell,NE,9,59,0,0,0,0,0,0,0,0,0,0,32,401,4,0,0,0
Phillip Dorsett,Ind,10,59,0,0,0,0,0,0,2,10,0,0,33,528,2,0,0,0
Victor Cruz,NYG,8,58,0,0,0,0,0,0,0,0,0,0,39,586,1,0,1,0
Tajae Sharpe,Ten,13,57,0,0,0,0,0,0,1,1,0,0,41,522,2,0,0,0
