name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Calvin Johnson,Det,5,217,0,0,0,0,0,0,0,0,0,0,122,1964,5,0,3,0
Brandon Marshall,Chi,6,210,0,0,0,0,0,0,1,-2,0,0,118,1508,11,0,0,0
Dez Bryant,Dal,5,203,0,0,0,0,0,0,2,-5,0,0,92,1382,12,1,2,0
A.J. Green,Cin,8,195,0,0,0,0,0,0,4,38,0,0,97,1350,11,0,1,0
Demaryius Thomas,Den,7,194,0,0,0,0,0,0,0,0,0,0,94,1434,10,0,3,0
Vincent Jackson,TB,5,181,0,0,0,0,0,0,0,0,0,0,72,1384,8,1,0,0
Andre Johnson,Hou,8,176,0,0,0,0,0,0,0,0,0,0,112,1598,4,0,0,0
Eric Decker,Den,7,176,0,0,0,0,0,0,0,0,0,0,85,1064,13,0,0,0
Julio Jones,Atl,7,173,0,0,0,0,0,0,6,30,0,0,79,1198,10,0,0,0
Roddy White,Atl,7,169,0,0,0,0,0,0,0,0,0,0,92,1351,7,0,0,0
Marques Colston,NO,6,168,0,0,0,0,0,0,0,0,0,0,83,1154,10,0,2,0
Wes Welker,NE,9,164,0,0,0,0,0,0,2,20,0,0,118,1354,6,0,1,0
Victor Cruz,NYG,11,162,0,0,0,0,0,0,0,0,0,0,86,1092,10,0,0,0
Reggie Wayne,Ind,4,159,0,0,0,0,0,0,1,-5,0,0,106,1355,5,0,1,0
Michael Crabtree,SF,9,159,0,0,0,0,0,0,1,8,0,0,85,1105,9,0,0,0
James Jones,GB,10,158,0,0,0,0,0,0,0,0,0,0,64,784,14,0,0,0
Mike Williams,TB,5,146,1,1,28,0,0,0,0,0,0,0,63,996,9,0,0,0
Randall Cobb,GB,10,145,0,0,0,0,0,0,10,132,0,0,80,954,8,0,1,0
Lance Moore,NO,6,137,0,0,0,0,0,0,0,0,0,0,65,1041,6,0,0,0
Steve Smith,Car,6,136,0,0,0,0,0,0,3,27,0,0,73,1174,4,0,1,0
Cecil Shorts,Jax,6,133,0,0,0,0,0,0,1,-4,0,0,55,979,7,0,1,0
Stevie Johnson,Buf,8,132,0,0,0,0,0,0,0,0,0,0,79,1046,6,0,1,0
Torrey Smith,Bal,8,127,0,0,0,0,0,0,3,9,0,0,49,855,8,0,0,0
T.Y. Hilton,Ind,4,127,1,0,0,0,0,0,5,29,0,0,50,861,7,0,0,0
Mike Wallace,Pit,4,124,0,0,0,0,0,0,5,7,0,0,64,836,8,0,1,0
Miles Austin,Dal,5,122,0,0,0,0,0,0,0,0,0,0,66,943,6,0,1,0
Jeremy Maclin,Phi,7,120,0,0,0,0,0,0,0,0,0,0,69,857,7,0,1,0
Jordy Nelson,GB,10,114,0,0,0,0,0,0,0,0,0,0,49,745,7,1,0,0
Justin Blackmon,Jax,6,112,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0
Sidney Rice,Sea,11,111,2,1,25,0,0,0,2,6,0,0,50,748,7,0,0,0
Anquan Boldin,Bal,8,111,0,0,0,0,0,0,1,3,0,0,65,921,4,1,0,0
Golden Tate,Sea,11,110,1,1,23,1,0,0,3,20,0,0,45,688,7,0,1,0
Denarius Moore,Oak,5,110,0,0,0,0,0,0,1,-5,0,0,51,741,7,0,0,0
Brandon Lloyd,NE,9,108,0,0,0,0,0,0,0,0,0,0,74,911,4,0,0,0
Brian Hartline,Mia,7,106,0,0,0,0,0,0,0,0,0,0,74,1083,1,0,1,0
Malcom Floyd,SD,7,105,0,0,0,0,0,0,0,0,0,0,56,814,5,0,0,0
Danario Alexander,SD,7,104,1,0,0,0,0,0,0,0,0,0,37,658,7,0,0,0
Josh Gordon,Cle,10,101,0,0,0,0,0,0,0,0,0,0,50,805,5,0,1,0
Andre Roberts,Ari,10,100,0,0,0,0,0,0,4,29,0,0,64,759,5,0,0,0
Santana Moss,Was,10,100,0,0,0,0,0,0,3,14,0,0,41,573,8,0,1,0
