Rk,Player,Week,Team,Opp,Gms,QB Pts,RB Pts,WR Pts,TE Pts,K Pts,Fpts
1,Denver Broncos,14,DEN,NYJ,1,0.8,8.8,5.1,0.6,0,15.3
2,Arizona Cardinals,14,ARI,TEN,1,5.5,13.7,14.9,6.7,0,40.8
3,Buffalo Bills,14,BUF,IND,1,7.8,19.9,4.6,9.2,0,41.5
4,Los Angeles Chargers,14,LAC,WAS,1,9.8,8.4,14.3,11.6,0,44.1
5,Tennessee Titans,14,TEN,ARI,1,8.3,15,16.3,7.4,0,47
6,Chicago Bears,14,CHI,CIN,1,10.5,17.5,20.2,1.1,0,49.3
7,Indianapolis Colts,14,IND,BUF,1,10.4,23,15.2,3.5,0,52.1
8,Miami Dolphins,14,MIA,NE,1,11.3,32.3,15.5,2,0,61.1
9,New York Jets,14,NYJ,DEN,1,13.3,21.5,26.1,1,0,61.9
10,Kansas City Chiefs,14,KC,OAK,1,12.4,15.3,18.5,18.3,0,64.5
11,New Orleans Saints,14,NO,ATL,1,9.8,18.3,32,4.5,0,64.6
12,Dallas Cowboys,14,DAL,NYG,1,11.1,25,12.1,17.4,0,65.6
13,San Francisco 49ers,14,SF,HOU,1,20.6,9.7,37.4,2.6,0,70.3
14,Minnesota Vikings,14,MIN,CAR,1,15.5,35.1,22.6,1.1,0,74.3
15,Atlanta Falcons,14,ATL,NO,1,18,15.4,39.1,2.4,0,74.9
16,Oakland Raiders,14,OAK,KC,1,12.1,29.8,19.2,13.9,0,75
17,Philadelphia Eagles,14,PHI,LAR,1,14.2,27.5,32.9,1.1,0,75.7
18,Detroit Lions,14,DET,TB,1,16.4,20.5,27.6,13,0,77.5
19,Green Bay Packers,14,GB,CLE,1,19.3,28.1,29.1,5.1,0,81.6
20,Houston Texans,14,HOU,SF,1,16.1,24.4,25.8,15.7,0,82
21,Carolina Panthers,14,CAR,MIN,1,21.2,10.9,35.3,15.3,0,82.7
22,Seattle Seahawks,14,SEA,JAX,1,18.5,23.6,44,0,0,86.1
23,Jacksonville Jaguars,14,JAX,SEA,1,24.8,13,48,1.7,0,87.5
24,New England Patriots,14,NE,MIA,1,22.9,21.8,40.6,6,0,91.3
25,Pittsburgh Steelers,14,PIT,BAL,1,17.8,47.9,26.5,0.6,0,92.8
26,Tampa Bay Buccaneers,14,TB,DET,1,17.2,25.8,34.6,17,0,94.6
27,Washington Redskins,14,WAS,LAC,1,19.9,22.2,41.4,13.5,0,97
28,Cleveland Browns,14,CLE,GB,1,25.7,27.1,43.5,2.1,0,98.4
29,Cincinnati Bengals,14,CIN,CHI,1,21.3,39.9,23.8,16.6,0,101.6
30,New York Giants,14,NYG,DAL,1,26.6,41.3,26.2,10.6,0,104.7
31,Los Angeles Rams,14,LAR,PHI,1,30.8,17.5,37.1,28.6,0,114
32,Baltimore Ravens,14,BAL,PIT,1,28.7,42.2,37.9,21.9,0,130.7
