Rk,Player,Week,Team,Opp,Gms,QBPts,RBPts,WRPts,TEPts,KPts,Fpts
1,CarolinaPanthers,2,CAR,BUF,1,10.5,8.5,10.1,3.8,0,32.9
2,SeattleSeahawks,2,SEA,SF,1,3,20.1,9.8,3.4,0,36.3
3,PittsburghSteelers,2,PIT,MIN,1,6.7,18.1,15.2,6.5,0,46.5
4,HoustonTexans,2,HOU,CIN,1,9.5,10.6,21.8,5.7,0,47.6
5,CincinnatiBengals,2,CIN,HOU,1,17.7,17.3,12.8,0,0,47.8
6,BuffaloBills,2,BUF,CAR,1,11.8,10.4,22.3,5.1,0,49.6
7,ArizonaCardinals,2,ARI,IND,1,9.8,14.3,14.3,14.4,0,52.8
8,NewYorkGiants,2,NYG,DET,1,13.2,14.7,15,13.5,0,56.4
9,DetroitLions,2,DET,NYG,1,12.6,12.7,14.1,20.3,0,59.7
10,OaklandRaiders,2,OAK,NYJ,1,15.7,16,27.2,0.9,0,59.8
11,SanFrancisco49ers,2,SF,SEA,1,15.3,14.6,27.8,4.6,0,62.3
12,TennesseeTitans,2,TEN,JAX,1,11.8,20.7,30.6,0,0,63.1
13,ChicagoBears,2,CHI,TB,1,12.3,18.4,27,5.6,0,63.3
14,TampaBayBuccaneers,2,TB,CHI,1,12,9.5,34.9,7.2,0,63.6
15,WashingtonRedskins,2,WAS,LAR,1,11.9,25.2,14.2,12.4,0,63.7
16,BaltimoreRavens,2,BAL,CLE,1,13.1,13.2,19.2,19.8,0,65.3
17,LosAngelesChargers,2,LAC,MIA,1,13.1,13.3,34.8,4.1,0,65.3
18,DenverBroncos,2,DEN,DAL,1,17.9,5,26.7,20.7,0,70.3
19,IndianapolisColts,2,IND,ARI,1,16.9,10.4,43.9,2.1,0,73.3
20,MinnesotaVikings,2,MIN,PIT,1,17.5,12.1,41.4,4.7,0,75.7
21,PhiladelphiaEagles,2,PHI,KC,1,16.1,24.4,18,20.3,0,78.8
22,LosAngelesRams,2,LAR,WAS,1,11.9,39.1,18.4,9.6,0,79
23,ClevelandBrowns,2,CLE,BAL,1,15.6,32.3,12.8,18.8,0,79.5
24,GreenBayPackers,2,GB,ATL,1,14.9,34.5,29.8,1.7,0,80.9
25,MiamiDolphins,2,MIA,LAC,1,17.2,20.4,23.5,21.1,0,82.2
26,JacksonvilleJaguars,2,JAX,TEN,1,14,26.6,17.7,24.2,0,82.5
27,KansasCityChiefs,2,KC,PHI,1,25.8,7.9,39.4,13.7,0,86.8
28,NewEnglandPatriots,2,NE,NO,1,22.2,19.1,33.6,16.5,0,91.4
29,AtlantaFalcons,2,ATL,GB,1,19.5,28.3,35.2,10.4,0,93.4
30,DallasCowboys,2,DAL,DEN,1,23.6,34.6,35.8,10.1,0,104.1
31,NewYorkJets,2,NYJ,OAK,1,21.2,34.3,47.1,7.1,0,109.7
32,NewOrleansSaints,2,NO,NE,1,30.8,42.5,30.6,21.6,0,125.5
