name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Rob Gronkowski,NE,4,176,0,0,0,0,0,0,0,0,0,0,72,1176,11,0,0,0
Jordan Reed,Was,8,152,0,0,0,0,0,0,0,0,0,0,87,952,11,0,2,0
Gary Barnidge,Cle,11,149,0,0,0,0,0,0,0,0,0,0,79,1043,9,0,0,0
Greg Olsen,Car,5,145,0,0,0,0,0,0,0,0,0,0,77,1104,7,0,1,0
Delanie Walker,Ten,4,143,0,0,0,0,0,0,1,36,0,0,94,1088,6,1,0,0
Tyler Eifert,Cin,7,135,0,0,0,0,0,0,0,0,0,0,52,615,13,0,0,0
Travis Kelce,KC,9,111,0,0,0,0,0,0,0,0,0,0,72,875,5,2,2,0
Benjamin Watson,NO,11,109,0,0,0,0,0,0,0,0,0,0,74,825,6,0,1,0
Richard Rodgers,GB,7,94,0,0,0,0,0,0,1,11,0,0,58,510,8,1,0,0
Zach Ertz,Phi,8,90,0,0,0,0,0,0,0,0,0,0,75,853,2,0,1,0
Antonio Gates,SD,10,88,0,0,0,0,0,0,0,0,0,0,56,630,5,0,0,0
Jason Witten,Dal,6,81,0,0,0,0,0,0,0,0,0,0,77,713,3,0,1,0
Eric Ebron,Det,9,76,0,0,0,0,0,0,0,0,0,0,47,537,5,0,0,0
Kyle Rudolph,Min,5,74,0,0,0,0,0,0,0,0,0,0,49,495,5,0,0,0
Julius Thomas,Jax,8,70,0,0,0,0,0,0,0,0,0,0,46,455,5,0,0,0
Zach Miller,Chi,7,69,0,0,0,0,0,0,0,0,0,0,34,439,5,0,0,0
Jimmy Graham,Sea,9,69,0,0,0,0,0,0,0,0,0,0,48,605,2,0,0,0
Ladarius Green,SD,10,65,0,0,0,0,0,0,0,0,0,0,37,429,4,2,0,0
Charles Clay,Buf,8,65,0,0,0,0,0,0,0,0,0,0,51,528,3,0,0,0
