name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jimmy Graham,NO,7,211,0,0,0,0,0,0,0,0,0,0,86,1215,16,0,0,0
Vernon Davis,SF,9,157,0,0,0,0,0,0,0,0,0,0,52,850,13,0,1,0
Julius Thomas,Den,9,144,0,0,0,0,0,0,0,0,0,0,65,788,12,0,0,0
Tony Gonzalez,Atl,6,129,0,0,0,0,0,0,0,0,0,0,83,859,8,1,0,0
Jason Witten,Dal,11,127,0,0,0,0,0,0,0,0,0,0,73,851,8,0,0,0
Jordan Cameron,Cle,10,127,0,0,0,0,0,0,0,0,0,0,80,917,7,0,0,0
Charles Clay,Mia,6,113,0,0,0,0,0,0,7,15,1,0,69,759,6,0,0,0
Greg Olsen,Car,4,110,0,0,0,0,0,0,0,0,0,0,73,816,6,0,0,0
Antonio Gates,SD,8,104,0,0,0,0,0,0,0,0,0,0,77,872,4,0,2,0
Martellus Bennett,Chi,8,97,0,0,0,0,0,0,0,0,0,0,65,759,5,0,1,0
Jared Cook,Stl,11,89,0,0,0,0,0,0,0,0,0,0,51,671,5,0,1,0
Delanie Walker,Ten,8,87,0,0,0,0,0,0,0,0,0,0,60,571,6,0,0,0
Coby Fleener,Ind,8,81,0,0,0,0,0,0,0,0,0,0,52,608,4,2,0,0
Rob Gronkowski,NE,10,80,0,0,0,0,0,0,0,0,0,0,39,592,4,0,0,0
Garrett Graham,Hou,8,77,0,0,0,0,0,0,0,0,0,0,49,545,5,0,1,0
Brent Celek,Phi,12,76,0,0,0,0,0,0,0,0,0,0,32,502,6,0,1,0
Brandon Myers,NYG,9,70,0,0,0,0,0,0,0,0,0,0,47,522,4,0,0,0
Scott Chandler,Buf,12,69,0,0,0,0,0,0,0,0,0,0,53,655,2,0,1,0
Jordan Reed,Was,5,65,0,0,0,0,0,0,1,18,0,0,45,499,3,0,0,0
Zach Ertz,Phi,12,64,0,0,0,0,0,0,0,0,0,0,36,469,4,0,0,0
Zach Miller,Sea,12,63,0,0,0,0,0,0,0,0,0,0,33,387,5,0,0,0
Mychal Rivera,Oak,7,61,0,0,0,0,0,0,0,0,0,0,38,407,4,0,0,0
Jermaine Gresham,Cin,12,61,0,0,0,0,0,0,0,0,0,0,46,458,4,0,3,0
Joseph Fauria,Det,9,61,0,0,0,0,0,0,0,0,0,0,18,207,7,1,0,0
Heath Miller,Pit,5,57,0,0,0,0,0,0,0,0,0,0,58,593,1,0,1,0
Marcedes Lewis,Jax,9,55,0,0,0,0,0,0,0,0,0,0,25,359,4,0,1,0
Ladarius Green,SD,8,53,0,0,0,0,0,0,0,0,0,0,17,376,3,0,0,0
Tyler Eifert,Cin,12,49,0,0,0,0,0,0,0,0,0,0,39,445,2,0,0,0
Rob Housler,Ari,9,48,0,0,0,0,0,0,0,0,0,0,39,454,1,0,0,0
Brandon Pettigrew,Det,9,47,0,0,0,0,0,0,0,0,0,0,41,416,2,0,1,0
Dallas Clark,Bal,8,47,0,0,0,0,0,0,0,0,0,0,31,343,3,0,0,0
Kellen Winslow,NYJ,10,46,0,0,0,0,0,0,0,0,0,0,31,388,2,0,0,0
Jermichael Finley,GB,4,46,0,0,0,0,0,0,0,0,0,0,25,300,3,0,0,0
Kyle Rudolph,Min,5,45,0,0,0,0,0,0,0,0,0,0,30,313,3,0,0,0
Lance Kendricks,Stl,11,44,0,0,0,0,0,0,0,0,0,0,32,258,4,0,0,0
Owen Daniels,Hou,8,41,0,0,0,0,0,0,0,0,0,0,24,252,3,0,0,0
Sean McGrath,KC,10,40,0,0,0,0,0,0,0,0,0,0,26,302,2,0,0,0
Logan Paulsen,Was,5,39,0,0,0,0,0,0,0,0,0,0,28,267,3,0,2,0
Andrew Quarless,GB,4,37,0,0,0,0,0,0,0,0,0,0,32,312,2,0,0,0
Clay Harbor,Jax,9,34,0,0,0,0,0,0,0,0,0,0,24,292,2,0,1,0
Anthony Fasano,KC,10,33,0,0,0,0,0,0,0,0,0,0,23,200,3,0,0,0
John Carlson,Min,5,33,0,0,0,0,0,0,0,0,0,0,32,344,1,0,1,0
Benjamin Watson,NO,7,31,0,0,0,0,0,0,0,0,0,0,19,226,2,0,0,0
Luke Willson,Sea,12,28,0,0,0,0,0,0,0,0,0,0,20,272,1,0,0,0
Ed Dickson,Bal,8,28,0,0,0,0,0,0,0,0,0,0,25,273,1,0,0,0
Ryan Griffin,Hou,8,27,0,0,0,0,0,0,0,0,0,0,19,244,1,0,0,0
Jim Dray,Ari,9,26,0,0,0,0,0,0,0,0,0,0,26,215,2,0,1,0
Dennis Pitta,Bal,8,21,0,0,0,0,0,0,0,0,0,0,20,169,1,0,0,0
Gavin Escobar,Dal,11,21,0,0,0,0,0,0,0,0,0,0,9,134,2,0,0,0
Gary Barnidge,Cle,10,20,0,0,0,0,0,0,0,0,0,0,13,127,2,0,0,0
Jacob Tamme,Den,9,19,0,0,0,0,0,0,0,0,0,0,20,184,1,0,0,0
Cory Harkey,Stl,11,19,0,0,0,0,0,0,0,0,0,0,13,113,2,0,0,0
Jake Ballard,Ari,9,17,0,0,0,0,0,0,0,0,0,0,7,75,2,0,0,0
Michael Hoomanawanui,NE,10,16,0,0,0,0,0,0,0,0,0,0,12,136,1,0,0,0
Brandon Bostick,GB,4,16,0,0,0,0,0,0,0,0,0,0,7,120,1,0,0,0
Levine Toilolo,Atl,6,14,0,0,0,0,0,0,0,0,0,0,11,55,2,0,0,0
Danny Noble,Jax,9,12,0,0,0,0,0,0,0,0,0,0,2,63,1,0,0,0
Chase Ford,Min,5,12,0,0,0,0,0,0,0,0,0,0,11,133,0,0,0,0
Rhett Ellison,Min,5,11,0,0,0,0,0,0,0,0,0,0,5,61,1,0,0,0
