name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Rob Gronkowski,NE,10,178,0,0,0,0,0,0,0,0,0,0,82,1124,12,0,0,0
Antonio Gates,SD,10,148,0,0,0,0,0,0,0,0,0,0,69,821,12,0,0,0
Jimmy Graham,NO,6,139,0,0,0,0,0,0,0,0,0,0,85,889,10,0,2,0
Greg Olsen,Car,12,131,0,0,0,0,0,0,0,0,0,0,84,1008,6,0,0,0
Martellus Bennett,Chi,9,123,0,0,0,0,0,0,0,0,0,0,90,916,6,2,0,0
Coby Fleener,Ind,10,118,0,0,0,0,0,0,0,0,0,0,51,774,8,0,0,0
Julius Thomas,Den,4,116,0,0,0,0,0,0,0,0,0,0,43,489,12,0,0,0
Delanie Walker,Ten,9,105,0,0,0,0,0,0,0,0,0,0,63,890,4,0,0,0
Travis Kelce,KC,6,105,0,0,0,0,0,0,0,0,0,0,67,862,5,0,3,0
Jason Witten,Dal,11,93,0,0,0,0,0,0,0,0,0,0,64,703,5,0,0,0
Heath Miller,Pit,12,88,0,0,0,0,0,0,0,0,0,0,66,761,3,1,1,0
Larry Donnell,NYG,8,88,0,0,0,0,0,0,0,0,0,0,63,623,6,0,4,0
Dwayne Allen,Ind,10,82,0,0,0,0,0,0,0,0,0,0,29,395,8,0,0,0
Zach Ertz,Phi,7,79,0,0,0,0,0,0,0,0,0,0,58,702,3,0,1,0
Jared Cook,Stl,4,75,0,0,0,0,0,0,1,0,0,0,52,634,3,0,0,0
Charles Clay,Mia,5,73,0,0,0,0,0,0,0,0,0,0,58,605,3,0,0,0
Mychal Rivera,Oak,5,70,0,0,0,0,0,0,0,0,0,0,58,534,4,0,1,0
Owen Daniels,Bal,11,70,0,0,0,0,0,0,0,0,0,0,48,527,4,0,0,0
Jermaine Gresham,Cin,4,69,0,0,0,0,0,0,0,0,0,0,62,460,5,0,0,0
Scott Chandler,Buf,9,62,0,0,0,0,0,0,0,0,0,0,47,497,3,0,0,0
Jordan Cameron,Cle,4,51,0,0,0,0,0,0,0,0,0,0,24,424,2,0,0,0
Luke Willson,Sea,0,50,0,0,0,0,0,0,0,0,0,0,22,362,3,0,0,0
Lance Kendricks,Stl,4,50,0,0,0,0,0,0,0,0,0,0,27,259,5,0,0,0
Josh Hill,NO,6,44,0,0,0,0,0,0,0,0,0,0,14,176,5,0,0,0
