name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Marcel Reece,Oak,6,40,0,0,0,0,0,0,10,36,0,0,30,269,3,0,0,0
J.J. Nelson,Ari,9,40,0,0,0,0,0,0,1,0,0,0,11,299,2,0,1,0
Darrius Heyward-Bey,Pit,11,40,0,0,0,0,0,0,0,0,0,0,21,314,2,0,0,0
Jarius Wright,Min,5,39,0,0,0,0,0,0,1,29,0,0,34,442,0,0,1,0
Denard Robinson,Jax,8,39,0,0,0,0,0,0,67,266,1,0,21,164,0,0,1,0
Quinton Patton,SF,10,39,0,0,0,0,0,0,1,5,0,0,30,394,1,0,0,0
Chris Givens,Stl,6,37,0,0,0,0,0,0,4,18,0,0,20,353,1,0,0,0
Bryan Walters,Jax,8,36,1,0,0,0,0,0,0,0,0,0,32,368,1,0,0,0
Keshawn Martin,Hou,9,33,0,0,0,0,0,0,1,6,0,0,24,269,2,0,1,0
Ryan Grant,Was,8,33,0,0,0,0,0,0,0,0,0,0,23,268,2,0,0,0
