name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
Stephen Gostkowski,NE,53,156,51,51,0,35,37,1,1,11,11,10,11,12,13,1,1
Cody Parkey,Phi,54,150,54,54,0,32,36,0,0,10,10,14,16,4,6,4,4
Adam Vinatieri,Ind,53,140,50,50,0,30,31,0,0,10,10,10,10,7,8,3,3
Mason Crosby,GB,55,134,53,55,2,27,33,0,0,7,7,11,12,5,7,4,7
Stephen Hauschka,Sea,58,134,41,41,0,31,37,0,0,10,10,10,10,9,13,2,4
Dan Carpenter,Buf,58,133,31,32,1,34,38,0,0,9,9,12,13,7,8,6,8
Shaun Suisham,Pit,53,132,45,45,0,29,32,0,0,12,13,6,6,10,10,1,3
Dan Bailey,Dal,56,131,56,56,0,25,29,0,0,6,6,6,7,8,9,5,7
Randy Bullock,Hou,55,130,40,40,0,30,35,0,0,6,7,13,15,7,8,4,5
Justin Tucker,Bal,55,129,42,42,0,29,34,0,0,10,10,11,11,4,4,4,9
Caleb Sturgis,Mia,53,128,41,41,0,29,37,1,1,12,12,7,8,6,10,3,6
Matt Bryant,Atl,54,127,40,40,0,29,32,0,0,10,10,4,4,8,8,7,10
Graham Gano,Car,53,121,34,34,0,29,35,0,0,7,7,12,13,9,12,1,3
Nick Folk,NYJ,55,119,23,23,0,32,39,0,0,13,13,7,7,9,13,3,6
Mike Nugent,Cin,49,117,39,39,0,26,33,0,0,6,6,10,12,10,12,0,3
Josh Brown,NYG,53,116,44,44,0,24,26,1,1,6,7,9,9,4,5,4,4
Chandler Catanzaro,Ari,51,114,27,27,0,29,33,0,0,5,5,12,14,10,11,2,3
Cairo Santos,KC,53,113,38,38,0,25,30,1,1,10,10,6,7,7,10,1,2
Phil Dawson,SF,55,108,33,33,0,25,31,0,0,6,6,8,9,5,7,6,9
Blair Walsh,Min,55,107,29,29,0,26,35,2,2,4,5,8,10,7,9,5,9
Nick Novak,SD,52,106,40,40,0,22,26,1,1,6,6,8,9,4,6,3,4
Greg Zuerlein,Stl,56,106,34,35,1,24,30,1,1,6,7,10,12,2,3,5,7
Kai Forbath,Was,49,103,31,32,1,24,27,0,0,11,11,6,7,7,8,0,1
Shayne Graham,NO,50,103,46,47,1,19,22,0,0,6,6,9,9,3,5,1,2
Billy Cundiff,Cle,52,94,28,28,0,22,29,0,0,6,6,10,13,5,7,1,3
