name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
Matt Bryant,Atl,59,158,56,57,1,34,37,0,0,12,12,7,8,9,9,6,8
Justin Tucker,Bal,57,141,27,27,0,38,39,0,0,4,4,10,11,14,14,10,10
Dustin Hopkins,Was,53,138,36,39,3,34,42,0,0,12,12,12,14,7,9,3,7
Caleb Sturgis,Phi,55,135,30,31,1,35,41,0,0,12,12,12,12,7,11,4,6
Wil Lutz,NO,57,133,49,50,1,28,34,1,1,7,7,9,11,8,8,3,7
Cairo Santos,KC,54,129,36,39,3,31,35,0,0,8,9,15,17,6,7,2,2
Stephen Hauschka,Sea,53,128,29,35,6,33,37,0,0,11,13,13,13,8,10,1,1
Dan Bailey,Dal,56,127,46,46,0,27,32,0,0,9,9,8,8,7,9,3,6
Stephen Gostkowski,NE,53,127,46,49,3,27,32,0,0,9,9,7,9,9,10,2,4
Nick Novak,Hou,53,127,22,25,3,35,41,1,1,12,12,11,11,8,11,3,6
Adam Vinatieri,Ind,54,125,44,44,0,27,31,0,0,3,3,7,7,10,12,7,9
Sebastian Janikowski,Oak,56,124,37,39,2,29,35,1,1,9,9,6,6,10,11,3,8
Matt Prater,Det,58,124,31,33,2,31,36,0,0,10,10,4,5,10,14,7,7
Mason Crosby,GB,53,122,44,47,3,26,30,1,1,6,6,13,15,5,6,1,2
Graham Gano,Car,54,121,31,34,3,30,38,0,0,4,4,9,11,14,17,3,6
Josh Lambo,SD,47,120,42,46,4,26,32,0,0,7,7,13,14,6,8,0,3
Brandon McManus,Den,55,119,32,33,1,29,34,0,0,9,9,10,10,7,9,3,6
Jason Myers,Jax,56,110,29,32,3,27,34,0,0,7,7,3,4,10,11,7,12
Chandler Catanzaro,Ari,60,106,43,47,4,21,28,1,1,5,6,6,7,6,8,3,6
Nick Folk,NYJ,51,105,24,26,2,27,31,0,0,12,13,10,11,3,3,2,4
Ryan Succop,Ten,53,105,39,41,2,22,24,1,1,4,4,6,6,8,8,3,5
Chris Boswell,Pit,49,99,36,36,0,21,25,0,0,2,2,8,9,11,12,0,2
Roberto Aguayo,TB,43,98,32,34,2,22,31,0,0,5,5,13,15,4,10,0,1
Dan Carpenter,Buf,54,97,40,45,5,19,25,1,1,8,8,5,5,4,9,1,2
Mike Nugent,Cin,47,92,23,29,6,23,29,0,0,9,9,9,10,5,7,0,3
