name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
Stephen Gostkowski,NE,57,151,52,52,0,33,36,0,0,6,6,11,11,12,14,4,5
Graham Gano,Car,52,146,56,59,3,30,36,1,1,10,10,4,5,13,16,2,4
Chandler Catanzaro,Ari,47,137,53,58,5,28,31,1,1,12,12,9,9,6,7,0,2
Blair Walsh,Min,54,135,33,37,4,34,39,0,0,9,9,13,15,6,7,6,8
Josh Brown,NYG,53,134,44,45,1,30,32,1,1,6,6,12,12,8,10,3,3
Cairo Santos,KC,53,129,39,41,2,30,37,0,0,7,8,10,10,9,11,4,8
Justin Tucker,Bal,52,128,29,29,0,33,40,0,0,10,10,9,9,10,11,4,10
Robbie Gould,Chi,55,127,28,29,1,33,39,1,1,8,8,10,12,7,9,7,9
Stephen Hauschka,Sea,54,127,40,44,4,29,31,0,0,9,9,7,7,7,9,6,6
Brandon McManus,Den,57,125,35,36,1,30,35,0,0,12,12,8,8,5,8,5,7
Mike Nugent,Cin,52,117,48,49,1,23,28,0,0,6,6,5,6,10,13,2,3
Dan Bailey,Dal,54,115,25,25,0,30,32,0,0,9,9,10,10,6,7,5,6
Dustin Hopkins,Was,54,114,39,40,1,25,28,0,0,7,7,9,9,7,8,2,4
Chris Boswell,Pit,51,113,26,27,1,29,32,1,1,9,9,8,8,9,12,2,2
Jason Myers,Jax,58,110,32,39,7,26,30,0,0,9,10,8,8,6,8,3,4
Mason Crosby,GB,56,108,36,36,0,24,28,1,1,7,7,4,4,8,11,4,5
Adam Vinatieri,Ind,55,107,32,35,3,25,27,0,0,7,8,6,6,8,8,4,5
Travis Coons,Cle,47,106,22,24,2,28,32,0,0,11,11,10,10,7,9,0,2
Josh Lambo,SD,54,106,28,32,4,26,32,0,0,4,4,7,7,11,16,4,5
Dan Carpenter,Buf,52,103,34,40,6,23,27,0,0,5,5,8,9,7,8,3,5
Matt Prater,Det,59,102,36,39,3,22,24,0,0,3,3,8,9,6,6,5,6
Sebastian Janikowski,Oak,56,101,38,39,1,21,26,0,0,7,7,5,6,5,8,4,5
Connor Barth,TB,53,94,25,26,1,23,28,0,0,9,9,8,8,3,6,3,5
Phil Dawson,SF,54,92,20,21,1,24,27,0,0,9,10,6,6,6,8,3,3
Caleb Sturgis,Phi,53,89,35,37,2,18,22,0,0,4,4,8,10,4,4,2,4
