name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
David Akers,Phi,50,143,47,47,0,32,38,0,0,12,12,10,12,9,11,1,3
Sebastian Janikowski,Oak,59,142,43,43,0,33,41,0,0,8,8,13,14,8,12,4,7
Adam Vinatieri,Ind,48,129,51,51,0,26,28,0,0,8,8,9,10,9,10,0,0
Matt Bryant,Atl,51,128,44,44,0,28,31,0,0,11,11,8,9,8,10,1,1
Nick Folk,NYJ,56,127,37,37,0,30,39,1,1,10,11,14,16,3,6,2,5
Josh Brown,Stl,53,125,26,27,1,33,39,0,0,11,12,12,14,7,9,3,4
Neil Rackers,Hou,57,124,43,43,0,27,30,0,0,8,8,11,11,5,7,3,4
Billy Cundiff,Bal,49,117,39,39,0,26,29,0,0,11,11,8,9,7,8,0,1
Dan Carpenter,Mia,60,115,25,25,0,30,41,1,1,9,9,5,5,11,18,4,8
David Buehler,Dal,53,114,42,44,2,24,32,0,0,8,8,4,7,8,11,4,6
Mason Crosby,GB,56,112,46,46,0,22,28,1,1,7,8,4,5,8,10,2,4
Rob Bironas,Ten,55,110,38,38,0,24,26,0,0,6,6,8,9,8,8,2,3
Robbie Gould,Chi,54,110,35,35,0,25,30,1,1,9,9,8,9,4,7,3,4
Nate Kaeding,SD,50,109,40,40,0,23,28,0,0,6,6,7,8,9,10,1,4
Josh Scobee,Jax,59,107,41,41,0,22,28,2,2,3,3,6,7,9,14,2,2
Olindo Mare,Sea,51,106,31,31,0,25,30,2,2,10,12,7,7,5,7,1,2
Connor Barth,TB,53,105,36,36,0,23,28,0,0,6,6,10,10,6,10,1,2
Jeff Reed,SF,53,104,32,32,0,24,32,2,2,9,10,8,9,3,7,2,4
Ryan Succop,KC,53,102,42,42,0,20,26,0,0,6,6,7,9,6,8,1,3
Jay Feely,Ari,55,101,29,29,0,24,27,0,0,8,8,6,6,8,10,2,3
Graham Gano,Was,49,100,28,28,0,24,35,1,1,8,10,4,7,11,14,0,3
Garrett Hartley,NO,52,100,40,40,0,20,25,1,1,4,6,7,9,6,7,2,2
Lawrence Tynes,NYG,53,100,43,43,0,19,23,0,0,12,12,2,4,3,4,2,3
Phil Dawson,Cle,48,97,28,28,0,23,28,3,3,7,7,10,10,3,5,0,3
John Kasay,Car,55,92,17,17,0,25,29,0,0,9,9,2,2,11,14,3,4
