name,team,long,fpts,patm,pata,patmiss,fgm,fga,r019m,r019a,r2029m,22029a,r3039m,r3039a,r4049m,r4049a,r50m,r50a
Stephen Gostkowski,NE,54,158,44,44,0,38,41,1,1,8,8,13,13,11,13,5,6
Matt Prater,Den,64,150,75,75,0,25,26,2,2,4,4,5,5,8,8,6,7
Nick Novak,SD,50,144,42,42,0,34,37,1,1,9,9,13,16,9,9,2,2
Stephen Hauschka,Sea,53,143,44,44,0,33,35,0,0,10,11,9,9,11,12,3,3
Mason Crosby,GB,57,141,42,42,0,33,37,1,1,13,13,8,8,6,8,5,7
Phil Dawson,SF,56,140,44,44,0,32,36,0,0,12,13,6,6,10,11,4,6
Justin Tucker,Bal,61,140,26,26,0,38,41,0,0,10,10,12,13,10,11,6,7
Adam Vinatieri,Ind,52,139,34,34,0,35,40,0,0,6,6,10,11,15,17,4,6
Dan Bailey,Dal,53,131,47,47,0,28,30,2,2,2,2,8,9,10,10,6,7
Dan Carpenter,Buf,55,131,32,32,0,33,36,0,0,13,13,6,6,10,11,4,6
Shaun Suisham,Pit,48,129,39,39,0,30,32,0,0,9,9,13,15,8,8,0,0
Jay Feely,Ari,52,127,37,37,0,30,36,0,0,9,11,7,8,11,12,3,5
Nick Folk,NYJ,54,126,27,27,0,33,36,0,0,8,8,10,11,12,14,3,3
Robbie Gould,Chi,58,123,45,46,1,26,29,0,0,11,11,6,7,6,7,3,4
Blair Walsh,Min,54,121,43,44,1,26,30,0,0,7,7,12,12,5,6,2,5
Ryan Succop,KC,51,118,52,52,0,22,28,0,0,6,6,9,10,6,8,1,4
Rob Bironas,Ten,55,116,41,41,0,25,29,0,0,10,10,8,9,5,7,2,3
Graham Gano,Car,55,114,42,42,0,24,27,0,0,9,9,4,5,5,7,6,6
Alex Henery,Phi,51,114,45,45,0,23,28,0,0,8,8,7,8,7,10,1,2
Greg Zuerlein,Stl,54,112,34,34,0,26,28,0,0,7,7,10,10,8,9,1,2
Matt Bryant,Atl,53,111,39,39,0,24,27,0,0,9,9,7,8,5,5,3,5
Caleb Sturgis,Mia,54,111,33,33,0,26,34,1,1,4,4,10,12,8,10,3,7
Garrett Hartley,NO,55,107,41,41,0,22,30,2,2,5,6,5,8,9,13,1,1
Mike Nugent,Cin,54,106,52,53,1,18,22,0,0,2,2,6,7,7,9,3,4
Randy Bullock,Hou,51,104,26,26,0,26,35,1,1,7,7,5,5,12,17,1,5
