name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Adrian Peterson,Min,11,299,0,0,0,0,0,0,348,2097,12,1,40,217,1,0,2,0
Arian Foster,Hou,8,250,0,0,0,0,0,0,351,1424,15,0,40,217,2,0,2,0
Doug Martin,TB,5,249,0,0,0,0,0,0,319,1454,11,0,49,472,1,0,1,0
Marshawn Lynch,Sea,11,236,0,0,0,0,0,0,315,1590,11,0,23,196,1,0,2,0
Alfred Morris,Was,10,233,0,0,0,0,0,0,335,1613,13,0,11,77,0,0,3,0
Ray Rice,Bal,8,207,0,0,0,0,0,0,257,1143,9,0,61,478,1,0,0,0
C.J. Spiller,Buf,8,202,0,0,0,0,0,0,207,1244,6,0,43,459,2,0,3,0
Jamaal Charles,KC,7,195,0,0,0,0,0,0,285,1509,5,0,35,236,1,0,3,0
Stevan Ridley,NE,9,193,0,0,0,0,0,0,290,1263,12,0,6,51,0,0,2,0
Trent Richardson,Cle,10,188,0,0,0,0,0,0,267,950,11,0,51,367,1,0,0,0
Frank Gore,SF,9,185,0,0,0,0,0,0,258,1214,8,0,28,234,1,0,1,0
Matt Forte,Chi,6,168,0,0,0,0,0,0,248,1094,5,0,44,340,1,0,1,0
Chris Johnson,Ten,11,166,0,0,0,0,0,0,276,1243,6,0,36,232,0,0,4,0
Reggie Bush,Mia,7,161,0,0,0,0,0,0,227,986,6,0,35,292,2,0,2,0
Shonn Greene,NYJ,9,156,0,0,0,0,0,0,276,1063,8,0,19,151,0,0,1,0
Steven Jackson,Stl,9,150,0,0,0,0,0,0,258,1045,4,0,38,321,0,1,0,0
Michael Turner,Atl,7,147,0,0,0,0,0,0,222,800,10,0,19,128,1,0,1,0
Ahmad Bradshaw,NYG,11,146,0,0,0,0,0,0,221,1015,6,0,23,245,0,0,3,0
Mikel Leshoure,Det,5,142,0,0,0,0,0,0,215,798,9,0,34,214,0,0,3,0
BenJarvus Green-Ellis,Cin,8,142,0,0,0,0,0,0,278,1094,6,0,22,104,0,0,2,0
LeSean McCoy,Phi,7,138,0,0,0,0,0,0,200,840,2,0,54,373,3,0,3,0
Darren Sproles,NO,6,131,0,0,0,0,0,0,48,244,1,1,75,667,7,0,0,0
DeAngelo Williams,Car,6,121,0,0,0,0,0,0,173,737,5,0,13,187,2,0,2,0
Willis McGahee,Den,7,110,0,0,0,0,0,0,167,731,4,0,26,221,0,1,4,0
DeMarco Murray,Dal,5,106,0,0,0,0,0,0,161,663,4,0,35,251,0,0,2,0
Darren McFadden,Oak,5,103,0,0,0,0,0,0,216,707,2,0,42,258,1,0,2,0
Vick Ballard,Ind,4,103,0,0,0,0,0,0,211,814,2,0,17,152,1,0,0,0
Danny Woodhead,NE,9,102,0,0,0,0,0,0,76,301,4,0,40,446,3,0,0,0
Joique Bell,Det,5,93,0,0,0,0,0,0,82,414,3,0,52,485,0,0,2,0
Andre Brown,NYG,11,91,0,0,0,0,0,0,73,385,8,1,12,86,0,0,0,0
Ryan Mathews,SD,7,89,0,0,0,0,0,0,184,707,1,0,39,252,0,0,2,0
Felix Jones,Dal,5,87,0,0,0,0,0,0,111,402,3,0,25,262,2,0,2,0
Pierre Thomas,NO,6,85,0,0,0,0,0,0,105,473,1,0,39,354,1,0,0,0
Mark Ingram,NO,6,85,0,0,0,0,0,0,156,602,5,0,6,29,0,0,0,0
Knowshon Moreno,Den,7,84,0,0,0,0,0,0,138,525,4,0,21,167,0,0,1,0
Jacquizz Rodgers,Atl,7,79,0,0,0,0,0,0,94,362,1,0,53,402,1,0,0,0
Fred Jackson,Buf,8,77,0,0,0,0,0,0,115,437,3,0,34,217,1,0,4,0
Mike Tolbert,Car,6,74,0,0,0,0,0,0,54,183,7,0,27,268,0,0,0,0
