name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Jonathan Grimes,Hou,8,19,0,0,0,0,0,0,21,73,1,0,6,76,0,0,1,0
Dennis Johnson,Hou,8,18,0,0,0,0,0,0,49,183,0,0,8,46,0,0,0,0
Johnathan Franklin,GB,4,17,0,0,0,0,0,0,19,107,1,0,4,30,0,0,1,0
Anthony Dixon,SF,9,17,0,0,0,0,0,0,28,56,2,0,3,30,0,0,0,0
Anthony Sherman,KC,10,16,0,0,0,0,0,0,2,3,0,0,18,155,1,0,1,0
Jonathan Dwyer,Pit,5,16,0,0,0,0,0,0,49,197,0,0,8,64,0,0,0,0
Lance Dunbar,Dal,11,16,0,0,0,0,0,0,30,150,0,0,7,59,0,0,1,0
David Wilson,NYG,9,15,0,0,0,0,0,0,44,146,1,0,2,8,0,0,2,0
Felix Jones,Pit,5,15,0,0,0,0,0,0,48,184,0,0,9,63,0,0,1,0
Stanley Havili,Ind,8,15,0,0,0,0,0,0,7,7,0,0,18,128,1,0,0,0
Alfonso Smith,Ari,9,14,0,0,0,0,0,0,18,54,1,0,10,68,0,0,1,0
Tashard Choice,Ind,8,12,0,0,0,0,0,0,46,170,0,0,5,15,0,0,0,0
Stepfan Taylor,Ari,9,11,0,0,0,0,0,0,36,115,0,0,8,71,0,0,0,0
John Kuhn,GB,4,11,0,0,0,0,0,0,10,38,1,0,13,81,0,0,1,0
