name,team,bye,fpts,passAtt,passCmp,passYds,passTds,passInt,pass2pt,rushAtt,rushYds,rushTd,rush2pt,rcvRec,rcvYds,rcvTds,rcv2pt,fumLost,fumTd
Arian Foster,Hou,7,315,0,0,0,0,0,0,327,1616,16,0,66,604,2,0,2,0
Adrian Peterson,Min,4,233,0,0,0,0,0,0,283,1298,12,0,36,341,1,0,1,0
Jamaal Charles,KC,4,225,0,0,0,0,0,0,230,1467,5,0,45,468,3,0,2,0
Peyton Hillis,Cle,8,223,2,1,13,0,0,0,270,1177,11,0,61,477,2,0,5,0
Chris Johnson,Ten,9,218,0,0,0,0,0,0,316,1364,11,0,44,245,1,0,2,0
Darren McFadden,Oak,10,211,1,0,0,0,0,0,223,1157,7,0,47,507,3,0,3,0
Michael Turner,Atl,8,207,0,0,0,0,0,0,334,1371,12,0,12,85,0,0,2,0
LeSean McCoy,Phi,8,207,0,0,0,0,0,0,207,1080,7,0,78,592,2,0,1,0
Rashard Mendenhall,Pit,5,205,0,0,0,0,0,0,324,1273,13,0,23,167,0,0,2,0
Matt Forte,Chi,8,201,0,0,0,0,0,0,237,1069,6,0,51,547,3,1,2,0
Ray Rice,Bal,8,200,0,0,0,0,0,0,307,1220,5,0,63,556,1,0,0,0
Maurice Jones-Drew,Jax,9,188,1,0,0,0,1,0,299,1324,5,0,34,317,2,0,2,0
Ahmad Bradshaw,NYG,8,185,0,0,0,0,0,0,276,1235,8,1,47,314,0,0,6,0
Steven Jackson,Stl,9,183,0,0,0,0,0,0,330,1241,6,0,46,383,0,0,1,0
BenJarvus Green-Ellis,NE,5,176,0,0,0,0,0,0,229,1008,13,0,12,85,0,0,0,0
Cedric Benson,Cin,6,163,0,0,0,0,0,0,321,1111,7,1,28,178,1,0,5,0
Knowshon Moreno,Den,9,152,0,0,0,0,0,0,182,779,5,0,37,372,3,0,2,0
Mike Tolbert,SD,10,151,0,0,0,0,0,0,182,735,11,1,25,216,0,0,3,0
LaDainian Tomlinson,NYJ,7,149,0,0,0,0,0,0,219,914,6,0,52,368,0,0,0,0
Frank Gore,SF,9,149,0,0,0,0,0,0,203,853,3,0,46,452,2,0,2,0
Fred Jackson,Buf,6,144,0,0,0,0,0,0,222,927,5,0,31,215,2,0,2,0
Brandon Jacobs,NYG,8,131,0,0,0,0,0,0,147,823,9,0,7,59,0,0,2,0
LeGarrette Blount,TB,4,129,0,0,0,0,0,0,201,1007,6,0,5,14,0,0,3,0
Thomas Jones,KC,4,127,0,0,0,0,0,0,245,896,6,0,14,122,0,0,1,0
Jahvid Best,Det,7,127,1,0,0,0,0,0,171,555,4,0,58,487,2,0,1,0
Felix Jones,Dal,4,124,0,0,0,0,0,0,185,800,1,0,48,450,1,0,1,0
Michael Bush,Oak,10,124,0,0,0,0,0,0,158,655,8,0,18,194,0,0,0,0
Danny Woodhead,NE,5,118,0,0,0,0,0,0,97,547,5,0,34,379,1,0,1,0
Ryan Torain,Was,9,115,0,0,0,0,0,0,164,742,4,0,18,125,2,0,1,0
Ronnie Brown,Mia,5,114,2,0,0,0,0,0,200,734,5,0,33,242,0,0,2,0
Brandon Jackson,GB,10,112,0,0,0,0,0,0,190,703,3,0,43,342,1,0,0,0
Ryan Mathews,SD,10,110,0,0,0,0,0,0,158,678,7,0,22,145,0,0,3,0
Marshawn Lynch,Sea,5,107,0,0,0,0,0,0,202,737,6,0,22,145,0,0,4,0
Tim Hightower,Ari,6,103,0,0,0,0,0,0,153,736,5,0,21,136,0,0,4,0
Jonathan Stewart,Car,6,93,0,0,0,0,0,0,178,770,2,0,8,103,1,0,4,0
Chris Ivory,NO,10,93,0,0,0,0,0,0,137,716,5,0,1,17,0,0,2,0
Shonn Greene,NYJ,7,88,0,0,0,0,0,0,185,766,2,0,16,120,0,0,2,0
Ricky Williams,Mia,5,87,0,0,0,0,0,0,159,673,2,0,19,141,1,0,2,0
Mike Goodson,Car,6,85,0,0,0,0,0,0,103,452,3,0,40,310,0,0,3,0
Carnell Williams,TB,4,83,0,0,0,0,0,0,125,437,2,0,46,355,1,0,1,0
Rashad Jennings,Jax,9,81,0,0,0,0,0,0,84,459,4,0,26,223,0,0,0,0
Jason Snelling,Atl,8,80,0,0,0,0,0,0,87,324,2,0,44,303,3,0,0,0
Joseph Addai,Ind,7,78,0,0,0,0,0,0,116,495,4,0,19,124,0,0,1,0
Justin Forsett,Sea,5,77,0,0,0,0,0,0,118,523,2,0,33,252,0,0,0,0
Darren Sproles,SD,10,76,0,0,0,0,0,0,50,267,0,0,59,520,2,0,3,0
Keiland Williams,Was,9,74,0,0,0,0,0,0,65,261,3,0,39,309,2,0,1,0
Maurice Morris,Det,7,74,0,0,0,0,0,0,90,336,5,0,25,170,0,0,0,0
Brian Westbrook,SF,9,71,0,0,0,0,0,0,77,340,4,0,16,150,1,0,0,0
Willis McGahee,Bal,8,71,0,0,0,0,0,0,100,380,5,0,14,55,1,0,2,0
Donald Brown,Ind,7,71,0,0,0,0,0,0,129,497,2,0,20,205,0,0,0,0
John Kuhn,GB,10,65,0,0,0,0,0,0,84,281,4,0,15,97,2,0,0,0
Marion Barber,Dal,4,56,1,0,0,0,0,0,113,374,4,0,11,49,0,0,0,0
